Data Source,,,,,,,,,
,,,,,,,,,
Last Updated Date,2023-07-25,,,,,,,,
,,,,,,,,,
Country Name,1980 - (GDP in millions) ,Country Name,1990 - (GDP in millions) ,Country Name,2000 - (GDP in millions) ,Country Name,2010 - (GDP in millions) ,Country Name,2020 - (GDP in millions) 
United States,"2,857,307.00",United States ,"5,963,144.00",United States,"10,250,948.00",United States,"15,048,964.44",United States,"21,060,473.61"
Japan,"1,105,385.81",Japan,"3,132,817.65",Japan,"4,968,359.15",China,"6,087,191.72",China,"14,687,743.56"
Germany,"950,290.86",Germany ,"1,771,671.21",Germany,"1,947,981.99",Japan,"5,759,071.77",Japan,"5,048,789.60"
France,"701,288.42",France ,"1,269,179.62",United Kingdom,"1,666,048.77",Germany,"3,399,667.82",Germany,"3,889,668.90"
United Kingdom,"564,954.28",Italy,"1,181,222.65",France,"1,365,639.66",France,"2,645,187.88",United Kingdom,"2,704,609.16"
Italy,"477,256.78",United Kingdom,"1,093,213.71",China,"1,211,331.63",United Kingdom,"2,491,397.49",India,"2,671,595.39"
Canada,"274,770.25",Canada,"596,089.06",Italy,"1,146,676.89",Brazil,"2,208,838.11",France,"2,639,008.70"
Brazil,"237,393.49",Spain,"536,558.59",Canada,"744,773.42",Italy,"2,136,099.96",Italy,"1,897,210.47"
Spain,"232,766.82",Russian Federation,"516,814.27",Mexico,"707,909.86",India,"1,675,615.50",Canada,"1,647,598.40"
Mexico,"205,576.98",Brazil,"464,989.10",Brazil,"655,448.19",Canada,"1,617,343.37","Korea, Rep.","1,644,312.79"
Netherlands,"195,152.09",China,"360,857.91",Spain,"598,363.31",Russian Federation,"1,524,916.70",Russian Federation,"1,493,075.89"
China,"191,149.21",India,"320,979.03","Korea, Rep.","576,178.11",Spain,"1,422,108.20",Brazil,"1,476,107.29"
India,"186,325.35",Netherlands,"318,330.51",India,"468,394.94",Australia,"1,148,569.54",Australia,"1,326,944.63"
Saudi Arabia,"164,539.60",Australia,"311,430.63",Netherlands,"417,479.34","Korea, Rep.","1,144,066.97",Spain,"1,276,962.69"
Australia,"149,984.40","Korea, Rep.","283,367.53",Australia,"415,844.97",Mexico,"1,057,800.60",Mexico,"1,090,514.97"
Sweden,"142,092.91",Switzerland,"265,771.55",Argentina,"284,203.75",Netherlands,"847,380.86",Indonesia,"1,059,054.84"
Belgium,"126,829.31",Sweden,"261,846.64",Switzerland,"279,209.01",Turkiye,"776,967.46",Netherlands,"909,793.47"
Switzerland,"122,557.23",Mexico,"261,253.66",Turkiye,"274,294.84",Indonesia,"755,094.16",Switzerland,"739,913.62"
"Iran, Islamic Rep.","94,362.28",Belgium,"205,331.75",Sweden,"262,834.19",Switzerland,"598,851.03",Saudi Arabia,"734,271.18"
South Africa,"89,411.89",Iraq,"180,408.06",Russian Federation,"259,710.14",Saudi Arabia,"528,207.30",Turkiye,"720,288.81"
Austria,"82,058.91",Austria,"166,463.39",Belgium,"236,792.46",Sweden,"495,812.56",Poland,"599,442.78"
Argentina,"76,961.92",Turkiye,"150,676.19",Austria,"197,289.63","Iran, Islamic Rep.","486,807.62",Sweden,"547,054.17"
Indonesia,"72,482.34",Finland,"141,438.35",Saudi Arabia,"189,514.91",Belgium,"481,420.88",Belgium,"525,213.07"
